"Рег. номер";"Дата рег.";"Проект. номер";"Дата создания";"Состояние";"Куратор";"Структ. подразделение";"ЦФО";"Вид платежа";"Сумма в валюте";"Валюта";"НДС%";"Получатель";"Банк получателя";"Основание для платежа";"Назначение платежа";"Банк отправителя";"ID закупки";"Аванс/Расчет";"Проект ДЭ";"Проект";"№ п/п";"Дата платежа"
15/724/СЗО;05.08.2020;800;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"578 956,00";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 2.2 (проведение монтажных и пусконаладочных работ) договора № 15/406 от 09.08.2019 согласно счета № 432 от 03.06.2020;окончательный расчет по этапу 2.2 (проведение монтажных и пусконаладочных работ) договора № 15/406 от 09.08.2019 согласно счета № 432 от 03.06.2020;БАНК ВТБ (ПАО);000007067;Расчет;Проекта нет;О/ОРВД;6182;05.08.2020
15/723/СЗО;05.08.2020;799;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"4 720 718,44";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 2.1 (поставка оборудования) договора № 15/406 от 09.08.2019 согласно счета № 431 от 03.06.2020;окончательный расчет по этапу 2.1 (поставка оборудования) договора № 15/406 от 09.08.2019 согласно счета № 431 от 03.06.2020;БАНК ВТБ (ПАО);000007067;Расчет;Проекта нет;О/ОРВД;6167;05.08.2020
15/738/СЗО;05.08.2020;798;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 591 210,00";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 1.2 (проведение монтажных и пусконаладочных работ) договора № 15/406 от 09.08.2019 согласно счета № 430 от 03.06.2020;окончательный расчет по этапу 1.2 (проведение монтажных и пусконаладочных работ) договора № 15/406 от 09.08.2019 согласно счета № 430 от 03.06.2020;БАНК ВТБ (ПАО);000007067;Расчет;Проекта нет;О/ОРВД;6173;05.08.2020
15/736/СЗО;05.08.2020;797;03.08.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"12 974 481,91";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 1.1 (поставка оборудования) договора № 15/406 от 09.08.2019 согласно счета № 429 от 03.06.2020;окончательный расчет по этапу 1.1 (поставка оборудования) договора № 15/406 от 09.08.2019 согласно счета № 429 от 03.06.2020;БАНК ВТБ (ПАО);000007067;Расчет;Проекта нет;О/ОРВД;6165;05.08.2020
05/705/СЗО;04.08.2020;796;03.08.2020;Исполнен;Яненко Р. М. (ДВЭД);Департамент внешнеэкономической деятельности;05;Платежи по ВТС;"2 019 900,00";RUB;Без НДС;Терлеева Елена Николаевна;"КБ ""КУБАНЬ КРЕДИТ"" ООО";"Индивидуальному предпринимателю Терлеевой Елене Николаевне в качестве окончательного расчета за оказанные услуги по обеспечению временного проживания и питания специалистов инозаказчика ""012"" по договору № АА-012/05-2068 от 14.02.2020";"Окончательный расчет за оказанные услуги по проживанию и питанию специалистов по договору № АА-012/05-2068 от 14.02.2020 (счет № 53 от 15.07.2020), НДС - не облагается";БАНК ВТБ (ПАО);;Расчет;нет проекта;Р/012/ТОР_ИК/2;6142;04.08.2020
;;795;31.07.2020;На согласовании с руководителем СП;Щербак А. А. (АГД);Аппарат генерального директора;001;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"497 240,00";RUB;20%;"ООО ""Награда""";"ТВЕРСКОЙ РФ АО ""РОССЕЛЬХОЗБАНК""";"ООО ""Награда"" оплата по счету № 201 от 30.07.2020 за плед в подарочной упаковке с символикой концерна ";Оплата по счету № 201 от 30.07.2020 за плед в подарочной упаковке с символикой концерна ;;000012934;Аванс;;;;
04/806/СЗО;10.08.2020;794;31.07.2020;Исполнен;Грызин Н. Н. (ПС);Пресс-служба;04;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"180 000,00";RUB;Без НДС;БВПА;"АО ""АЛЬФА-БАНК""";Расчет за оказание услуг по подготовке и распространению в англоязычном сегменте сети Интернет текстовых материалов о продукции и деятельности заказчика за период с 01.07.2020 по 31.07.2020 г. ;  Расчет по счету №39 от 31.07.2020 г. за оказание услуг согласно Акту №27 от 31.07.2020 г.;БАНК ВТБ (ПАО);000012930;Расчет;Нет проекта;Проекты не выясненные;6377;10.08.2020
04/790/СЗО;10.08.2020;793;31.07.2020;Исполнен;Грызин Н. Н. (ПС);Пресс-служба;04;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"470 000,00";RUB;Без НДС;БВПА;"АО ""АЛЬФА-БАНК""";Расчет за оказание услуг по подготовке и распространению в англоязычном сегменте сети Интернет графических материалов о продукции и деятельности заказчика за период с 01.07.2020 по 31.07.2020 г. ;  Расчет по счету №38 от 31.07.2020 г. за оказание услуг согласно Акту №26 от 31.07.2020 г.;БАНК ВТБ (ПАО);000012929;Расчет;Нет проекта;Проекты не выясненные;6378;10.08.2020
04/805/СЗО;10.08.2020;792;31.07.2020;Исполнен;Грызин Н. Н. (ПС);Пресс-служба;04;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"495 000,00";RUB;Без НДС;БВПА;"АО ""АЛЬФА-БАНК""";"Расчет за оказание услуг по созданию, технической поддержке и ведению сети информационных каналов по теме ОПК в службах мгновенных сообщений (мессенджерах) в Интернет за период с 01.07.2020 по 31.07.2020 г. ";  Расчет по счету №37 от 31.07.2020 г. за оказание услуг согласно Акту №25 от 31.07.2020 г.;БАНК ВТБ (ПАО);000012927;Расчет;Нет проекта;Проекты не выясненные;6379;10.08.2020
04/804/СЗО;10.08.2020;791;31.07.2020;Исполнен;Грызин Н. Н. (ПС);Пресс-служба;04;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"430 000,00";RUB;Без НДС;"ООО ""Фокус Продакшн""";"АО ""АЛЬФА-БАНК""";"Расчет за оказание услуг по размещению в электронных СМИ, социальных сетях и блогах информационных материалов, направленных на формирование позитивного облика АО «Концерн ВКО «Алмаз – Антей» согласно Акту №7 от 31.07.2020 г."; Расчет по счету№7 от 31.07.2020 г. за оказание услуг согласно Акту №7 от 31.07.2020 г.;БАНК ВТБ (ПАО);000012926;Расчет;Нет проекта;Проекты не выясненные;6380;10.08.2020
